filename,codec,bitrate,preset,keyint,vmaf,psnr
Animation_360P-188f_crf_10_ss_00_t_20.0_libx264_1000k_slow_keyint60,h264,1000k,slow,60,86.647081,48.464078
Animation_360P-188f_crf_10_ss_00_t_20.0_libx264_2000k_veryslow_keyint120,h264,2000k,veryslow,120,86.647081,56.609770
Animation_360P-188f_crf_10_ss_00_t_20.0_libx264_4000k_veryslow_keyint120,h264,4000k,veryslow,120,98.929381,67.239814
Animation_360P-188f_crf_10_ss_00_t_20.0_libx264_500k_medium_keyint120,h264,500k,medium,120,98.929381,43.754252
Animation_360P-188f_crf_10_ss_00_t_20.0_libx264_500k_ultrafast_keyint120,h264,500k,ultrafast,120,87.754872,37.950819
Animation_360P-188f_crf_10_ss_00_t_20.0_libx265_2000k_medium_keyint120,h265,2000k,medium,120,98.886259,56.559982
Animation_360P-188f_crf_10_ss_00_t_20.0_libx265_500k_veryslow_keyint30,h265,500k,veryslow,30,98.886259,45.643880
Animation_360P-24d4_crf_10_ss_00_t_20.0_libx264_4000k_slow_keyint30,h264,4000k,slow,30,98.886259,55.832354
Animation_360P-24d4_crf_10_ss_00_t_20.0_libx265_500k_slow_keyint120,h265,500k,slow,120,98.886259,40.900634
Animation_360P-3e40_crf_10_ss_00_t_20.0_libx264_1000k_medium_keyint60,h264,1000k,medium,60,93.467678,42.015907
Animation_360P-3e40_crf_10_ss_00_t_20.0_libx264_500k_veryslow_keyint60,h264,500k,veryslow,60,93.467678,37.712989
Animation_360P-3e40_crf_10_ss_00_t_20.0_libx265_1000k_slow_keyint60,h265,1000k,slow,60,93.098996,42.193319
Animation_360P-3e40_crf_10_ss_00_t_20.0_libx265_1000k_veryslow_keyint120,h265,1000k,veryslow,120,93.670179,42.651244
Animation_360P-3e40_crf_10_ss_00_t_20.0_libx265_4000k_fast_keyint30,h265,4000k,fast,30,98.936357,51.554938
Animation_360P-3e40_crf_10_ss_00_t_20.0_libx265_4000k_slow_keyint120,h265,4000k,slow,120,99.258378,53.180185
Animation_360P-3e40_crf_10_ss_00_t_20.0_libx265_4000k_slow_keyint60,h265,4000k,slow,60,99.249629,53.568634
